pid,cause,mean_risk_reduction,share
P01,Boredom,0.0042519417357811794,0.00805878704592855
P01,Fatigue,0.012084728622527926,0.022904418858152007
P01,Hunger,0.021194391603748478,0.040170138519371075
P01,Low intrinsic motivation,0.08513709522305271,0.161361975950376
P01,Phone pull,0.24771077200066133,0.4694909960164667
P01,Stress,0.046442992851121793,0.0880242986429375
P01,Task aversiveness,0.07965055276287424,0.15096322637839957
P01,Time-on-task (vigilance),0.031143121883524773,0.05902615858836866
P02,Boredom,0.009242552673443382,0.017143960243616897
P02,Fatigue,0.013402054443195891,0.024859397254734728
P02,Hunger,0.026840308777174342,0.049785941488267066
P02,Low intrinsic motivation,0.10169030497363286,0.18862478875976285
P02,Phone pull,0.16058955170438394,0.2978766783629825
P02,Stress,0.05741523386322337,0.10649920227745378
P02,Task aversiveness,0.10226808020442191,0.18969650086532164
P02,Time-on-task (vigilance),0.06766612863552791,0.12551353074786062
P03,Boredom,0.004637171379035764,0.008676872085556496
P03,Fatigue,0.012726178186448825,0.023812667515595857
P03,Hunger,0.021436603988156982,0.04011123496424345
P03,Low intrinsic motivation,0.07766632421294202,0.14532582591139548
P03,Phone pull,0.229450156102258,0.4293370875855455
P03,Stress,0.05346412726738792,0.1000397344731089
P03,Task aversiveness,0.09835778083297209,0.18404277374030542
P03,Time-on-task (vigilance),0.03669057818911109,0.06865380372424891
P04,Boredom,0.0025956192905141028,0.004990871225101851
P04,Fatigue,0.010644583753966859,0.020467464914832506
P04,Hunger,0.018681952668789616,0.035921762619089394
P04,Low intrinsic motivation,0.06668346064176642,0.1282193294384424
P04,Phone pull,0.3094299013321932,0.5949735372937033
P04,Stress,0.03847622842733882,0.07398230626896622
P04,Task aversiveness,0.059194397958131036,0.11381931800867034
P04,Time-on-task (vigilance),0.014367240601963158,0.027625410231194046
P05,Boredom,0.00412282489550269,0.007855388931071837
P05,Fatigue,0.014391426131127904,0.027420579917453926
P05,Hunger,0.024188471650919214,0.046087296279171255
P05,Low intrinsic motivation,0.07840100312387516,0.14938067653468104
P05,Phone pull,0.26092630981656484,0.49715369871621734
P05,Stress,0.04330583457574496,0.08251239919217013
P05,Task aversiveness,0.06026718945974982,0.11482957074052606
