covariate,coef,hazard_ratio,hr_lo,hr_hi,p
urge_eff,0.5295933640208059,1.6982416020582378,1.6721152543337832,1.7247761668859394,0.0
low_intrinsic,0.21746779848126063,1.2429254047775924,1.212901549745847,1.2736924626448491,4.798510105570154e-68
aversive,0.18595555872974856,1.2043687355118247,1.1774358152752156,1.2319177251622064,2.0003005642433435e-58
stress,0.15122122820188044,1.1632539742030226,1.1274735711336545,1.2001698692932983,2.3803588968092325e-21
tot,0.13681151009599282,1.1466120033640006,1.097377814790433,1.198055098744164,9.977248984798878e-10
boredom,0.11567388675569477,1.1226297080147813,1.0946519206981142,1.1513225688341173,2.6266778674184036e-19
hunger,0.05312675626002977,1.0545633091488331,1.036129685996032,1.0733248820429957,3.5323476146627712e-09
fatigue,0.049740711560251026,1.0509985492693754,1.0321276545535387,1.0702144697829468,7.418388479592912e-08
low_mood,0.00963898527412929,1.0096855899128059,0.9736343048442524,1.04707176545166,0.603338687204945
tot2,-0.017126076745471557,0.983019740892196,0.9466861555182823,1.0207478004732462,0.3727862854106698
focus_reserve,-0.2774690160619849,0.7576990407393933,0.741790572177044,0.7739486829179784,7.252947716065587e-145
