feature,mean_abs_shap
since_slip,0.3264654
aversive,0.26089847
is_break,0.24587144
notif_15,0.22897594
slips_today,0.17917766
intrinsic,0.16327938
phone_in_reach,0.12541036
stress_obs_roll20,0.118022256
time_on_task,0.07547086
location_home,0.0741254
trait_self_control,0.07071356
chronotype,0.058688622
vigilance,0.04804266
conscientiousness,0.04603582
since_meal,0.04268038
minutes_awake,0.03963428
notif,0.03951056
habit_strength,0.028038353
caffeine_use,0.024888044
boredom_obs_roll20,0.024820575
hour_cos,0.020785041
hour_sin,0.020268634
stress_obs,0.018322775
deadline,0.01537562
location_office,0.014863934
difficulty,0.011594989
energy_obs,0.010707413
neuroticism,0.010068525
alertness_obs,0.008201654
task_type_break,0.008187156
task_type_leisure,0.0075181653
boredom_obs,0.00486896
task_type_admin,0.003386764
sex_M,0.0020031878
task_type_deep_work,0.0015302874
task_type_shift_work,0.001442908
task_type_errands,0.001409454
is_meal,0.0012316282
task_type_exercise,0.0011916141
hunger_obs,0.00095970294
social_family,0.0008179184
open_tasks,0.00073492323
task_type_childcare,0.00061225216
task_type_wind_down,0.0006025538
location_outdoors,0.0004012483
social_colleagues,0.0003947642
task_type_meal,0.00037761894
social_alone,0.00037353634
location_cafe,0.00032635697
task_type_chores,0.00031867615
social_friends,0.00031118485
location_gym,0.00029684836
task_type_meeting,0.00013585143
task_type_routine,0.00011737133
task_type_social,0.00010161135
task_type_commute,7.937235e-05
task_type_study,3.864166e-05
location_transit,3.3977572e-05
focus,0.0
